LTER_site,local_site,year,date,site,plot,ACHMIL,ALLGEY,ANTMED,AREFEN,ARTSCO,bare,BISBIS,BISVIV,CALLEP,CAMROT,CAR_SP1,CARHET,CARNOV,CARSCO,CASOCC,CERARV,CHIJAM,DANINT,DESCAE,DRABA_SP1,DRACRA2,ERIMEL,ERIPIN,ERISIM,FESBRA,FORB_SP1,GEN_SP1,GENALG,GENAMA,GENPRO,GEUROS,GRASS_SP1,LEWPYG,lichen,litter,LLOSER,LUZSPI,MERLAN,MINOBT,moss,NOCFEN,PACCRO,PEDGRO,PHLALP,POA_SP1,POAALP,POAARC,POAGLA,POTDIV,PRIANG,RANADO,RHOINT,RHORHO,rock,SALIX_SP1,SAXRHO,SEDLAN,SELDEN,SIBPRO,SOLMUL,STELON,STEUMB,SWEPER,TRIPAR,TRISPI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CAC,0,0,0,0,24,5,0.5,0,6,0,0,0,0,0.5,2,0,0,0,42,0,0,0,0,3,0,0,0,8,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CAN,0,0,0,0,20,15,3,0,30,0,0,0,0,18,2,0,0,0,18,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CAX,0,0,0,0,16,17,2,0,7,0,0,0,0,12,4,0,0,0,36,0,0,0,0,0.5,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CBX,0,0,0,0,7,15,2,0,28,0,0,0,0,7,2,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CDC,0,0,0,0,16,8,6,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,63,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CDN,0,0,0,0,22,1,0,0,11,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CDX,0,0,0,0,12,15,1,0,13,0,0,0,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,30,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CXC,0,0,0,0,20,4,2,1,1,0,0,0,0,12,5,0,0,0,27,0,0,0,0,0,0,0,0,16,0,0,30,0,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CXN,0,0,0,0,31,0,12,0,36,0,0,0,0,5,4,0,0,0,38,0,0,0,0,0,0,0,0,8,0,0,65,0,0,0,0,4,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Longs,2002,.,1,CXX,0,0,0,0,14,1,5,1,8,0,0,0,0,9,0.5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CAC,0,0,0,0,13,16,7,0,1,0,0,0,0,1,0,0,0,0,69,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CAN,0,0,0,0,13,22,5,0,5,0,0,0,0,6,0,0,0,0,56,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CAX,0,0,0,0,15,14,8,0,0,0,0,0,0,0,3,0,0,0,64,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CBX,0,0,0,0,7,30,1,0,2,0,0,0,0,2,1,0,0,0,31,0,0,0,0,0,0.5,0,0,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CDC,0,0,0,0,18,34,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,47,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,4,0,0,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CDN,0,0,0,0,7,19,2,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CDX,0,0,0,0,19,16,5,0,1,0,0,0,0,6,0,0,0,0,3,0,0,0,0,2,0,0,0,6,0,0,55,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CXC,0,0,0,0,6,3,3,0,4,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,6,0,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CXN,0,0,0,0,23,1,11,0,6,0,0,0,0,4,0,0,0,0,67,0,0,0,0,0,0,0,0,11,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,2,CXX,0,0,0,0,21,2,4,0,1,0,0,0,0,1,1,0,0,0,43,0,0,0,0,0.5,0,0,0,16,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CAC,0,0,0,0,5,30,3,0.5,16,0,0,0,0,1,0.5,0,0,0,33,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CAN,0,0,0,0,26,22,9,0,12,0,0,0,0,0,2,0,0,0,35,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CAX,0,0,0,0,17,10,6,0,6,0,0,0,0,0,1,0,0,0,73,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CBX,0,0,0,0,11,28,8,2,3,0,0,0,0,16,2,0,0,0,22,0,0,0,0,0.5,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CDC,0,0,0,0,7,31,11,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CDN,0,0,0,0,15,34,14,0,0.5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CDX,0,0,0,0,0.5,16,5,0,9,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CXC,0,0,0,0,12,14,9,1,2,0,0,0,0,6,2,0,0,0,40,0,0,0,0,4,0,0,0,12,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CXN,0,0,0,0,16,6,3,0,17,0,0,0,0,0.5,7,0,0,0,44,0,0,0,0,0,0,0,0,30,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Edge,2002,.,3,CXX,0,0,0,0,7,9,14,0,16,0,0,0,0,8,0,0,0,0,53,0,0,0,0,0,0,0,0,8,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CAC,0,0,0,0,17,46,1,0,0.5,0,0,0,0,4,2,0,0,0,30,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CAN,0,0,0,0,8,34,4,0,0,0,0,0,0,2,0.5,0,0,0,27,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CAX,0,0,0,0,13,42,5,2,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CBX,0,0,0,0,4,25,6,0,0,0,0,0,0,2,0,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CDC,0,0,0,0,7,22,0,0,0,0,0,0,0,7,2,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CDN,0,0,0,0,14,22,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CDX,0,0,0,0,7,23,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,40,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CXC,0,0,0,0,10,4,1,0,0,0,0,0,0,0,2,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CXN,0,0,0,0,3,18,4,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,9,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Tundra Lab,2002,.,4,CXX,0,0,0,0,9,11,1,0,0,0,0,0,0,2,5,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Watershed,2002,.,5,CAC,0,1,0,0,12,21,3,1,0,0,0,0,0,12,0,0,0,0,45,0,0,0,0,1,0,0,0,0.5,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Watershed,2002,.,5,CAN,0,0,0,0,7,22,7,0,2,0,0,0,0,0,0,0,0,0,53,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Watershed,2002,.,5,CAX,0,0.5,0,0,10,16,4,1,3,0,0,0,0,1,0,0,0,0,33,0,0,0,0,8,0,0,0,6,0,0,3,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWT,Watershed,2002,.,5,CBX,0,0,0,0,1,29,0.5,1,6,0,0,0,0,2,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
