Species_Name,synonym,Spp_code, Height,StomCond,ChloroCont,LeafArea,SLA,%N,%C,Dispersal.mode,SeedMass,,
Achillea lanulosa,,ACHLAN,19.66,293.49,197.15,5.39,127.24,2.98,43.36,Wind,0.20,,
Geum rossii,Acomastylis rossii,GEUROS,12.46,199.89,540.91,7.45,95.68,1.40,42.41,,1.09,,
Agoseris aurantica,,AGOAUR,11.48,124.17,519.46,10.21,35.49,,,,1.49,,
Allium geyeri,,ALLGEY,5.62,85.07,72.70,1.18,19.86,,,,2.34,,
Anaphalis margaritacea,,ANAMAR,16.28,189.07,656.47,3.45,202.50,,,,0.09,,
Angelica grayi,,ANGGRA,36.57,306.88,297.95,13.61,119.72,,,,,,
Antennaria alpina,,ANTALP,7.81,199.08,333.08,0.33,158.42,1.85,44.39,,0.60,,
Aquilegia coerulea,,AQUCOE,30.72,149.77,447.24,35.34,47.09,,,,1.00,,
Arctostaphylos uva-ursi,,ARCUVI,7.34,177.77,225.11,0.64,231.90,2.75,48.39,Mammal,18.20,,
Arenaria fendleri,,AREFEN,10.26,217.94,207.25,0.33,173.09,2.25,41.86,,0.72,,
Arnica cordifolia,,ARNCOR,19.60,73.59,279.72,13.40,45.61,,,,1.19,,
Arnica latifolia,,ARNLAT,16.23,175.70,422.65,14.71,41.17,,,,0.95,,
Arnica mollis,,ARNMOL,26.60,134.90,365.83,8.14,240.66,,,,0.71,,
Artemisia pattersonii,,ARTPAT,7.82,64.40,365.00,1.12,30.85,2.57,42.44,,,,
Artemisia scopulorum,,ARTSCO,16.01,239.30,246.46,2.98,154.24,2.37,43.13,,,,
Bistorta bistortoides,Polygonum bistortoides,BISBIS,31.73,273.57,521.49,12.97,142.46,2.09,40.64,,1.69,,
Bistorta vivipara,Polygonum vivipara,BISVIV,4.43,249.83,615.55,3.40,57.82,3.13,43.40,,2.52,,
Calamagrostis purpurascens,,CALPUR,17.20,160.28,599.27,3.33,124.19,,,,,,
Calamagrostis canadensis,,CALCAN,16.20,157.46,491.22,7.78,31.63,,,,0.10,,
Caltha leptosepala,,CALLEP,10.08,114.19,552.15,17.89,84.07,2.13,42.71,,0.75,,
Campanula parryi,,CAMPAR,15.05,204.75,573.16,1.01,118.58,3.04,43.64,Wind,0.06,,
Carex albonigra,,CARALB,12.30,184.53,412.84,6.16,52.72,,,,,,
Carex aquatilis,,CARAQU,24.40,34.34,607.94,6.98,146.53,,,,,,
Carex brevior,,CARBRE,8.40,48.06,269.12,0.97,88.14,,,,0.89,,
Carex ebenea,,CAREBE,16.00,94.30,307.63,4.77,179.36,,,,0.30,,
Carex foenea,,CARFOE,14.47,60.01,220.12,2.74,120.04,,,,1.34,,
Carex nova,,CARNOV,25.40,150.32,404.71,6.33,211.16,1.83,41.40,,,,
Carex rupestris,,CARRUP,5.82,333.08,543.19,1.18,112.92,2.00,42.98,,,,
Carex scopulorum,,CARSCO,27.93,180.70,500.34,5.64,140.63,2.69,43.45,,0.42,,
Castilleja occidentalis,,CASOCC,12.10,366.05,285.65,1.61,157.15,1.17,40.56,,,,
Cerastium arvense s. lat.,,CERARV,7.88,175.33,233.30,0.35,129.42,,,,0.21,,
Chamerion angustifolium,,CHAMANG,24.32,214.83,367.23,6.46,193.63,,,,,,
Chionophila jamesii,,CHIJAM,12.86,123.49,627.56,3.60,145.54,3.14,45.00,,,,
Cryptantha cana,,CRYCAN,2.04,211.00,142.88,0.20,46.36,,,,,,
Danthonia intermedia,,DANINT,13.00,218.27,640.85,1.15,86.79,1.93,43.47,,,,
Deschampsia cespitosa,,DESCAE,40.76,207.12,339.18,3.20,76.61,1.21,41.14,,0.35,,
Dodecatheon pulchellum,,DODPUL,11.23,159.06,372.54,4.08,41.06,2.59,43.12,,0.21,,
Draba aurea,,DRAAUR,4.75,92.10,328.22,0.34,31.99,,,,0.10,,
Draba streptocarpa,,DRASTR,2.50,93.03,78.94,0.12,30.09,,,,,,
Dryas Octopetala,,DRYOCT,2.33,50.67,430.25,0.80,39.78,,,Wind,0.55,,
Elymus scriberneri,,ELYSCR,16.71,58.83,722.57,4.13,44.02,,,,,,
Erigeron melanocephalus,,ERIMEL,8.28,191.48,483.23,1.24,201.63,3.39,44.18,,,,
Erigeron peregrinus,,ERIPER,30.64,117.90,329.44,12.74,117.28,,,,0.50,,
Erigeron pinnatisectus,,ERIPIN,5.22,195.28,198.79,0.99,25.54,,,,,,
Erigeron simplex,,ERISIM,9.77,205.77,541.46,1.00,171.72,2.04,43.18,,,,
Eriogonum arcuatum,,ERIARC,5.96,143.80,878.14,1.32,,,,,,,
Eritrichium aretioides,,ERIARE,2.46,367.03,116.47,0.08,31.01,,,,,,
Erysimum capitatum,,ERYCAP,9.42,124.10,560.58,1.37,31.51,,,,,,
Festuca brachyphylla,,FESBRA,7.00,210.29,442.27,0.29,180.27,1.76,46.01,,0.38,,
Frasera speciosa,,FRASPE,12.54,92.10,547.62,47.33,88.38,,,,4.74,,
Gentianella amarella,,GENAMA,10.10,113.86,,0.83,295.29,4.24,46.09,,0.14,,
Gentianoides algida,,GENALG,11.00,70.30,286.32,3.23,37.90,3.21,45.62,,,,
Heuchera parvifolia,,HUEPAR,17.18,108.57,695.97,3.11,73.50,,,,0.09,,
Hieracium gracile,,HIEGRA,15.35,171.29,437.39,3.94,216.33,2.84,43.80,,0.83,,
Hymenoxys acaulis,Tetraneuris acaulis ,HYMACA,4.88,89.32,585.17,1.21,23.22,2.11,39.75,,,,
Hymenoxys grandiflora,Tetraneuris grandiflora,HYMGRA,13.35,117.40,284.47,3.45,70.73,,,,,,
Juncus drummondii,,JUNDRO,19.20,114.01,667.81,1.18,117.27,,,,0.02,,
Kobresia myosuroides,,KOBMYO,7.74,178.90,339.55,0.48,43.25,2.67,44.11,,,,
Lewisia pygmaea,,LEWPYG,2.59,108.00,375.15,1.22,133.87,2.77,43.52,,,,
Ligusticun tenuifolium,,LIGTEN,29.92,174.18,250.61,23.52,159.62,,,,,,
Lloydia serotina,,LLOSER,10.51,151.83,120.55,1.62,88.12,3.90,42.01,,,,
Luzula parviflora,,LUZPAR,42.00,138.44,204.84,8.44,301.10,,,,0.25,,
Luzula spicata,,LUZSPI,12.18,136.65,179.94,1.20,172.62,2.03,43.28,,0.27,,
Mertensia ciliata,,MERCIL,62.60,348.78,320.31,11.71,237.73,,,,2.29,,
Mertensia lanceolata,,MERLAN,15.74,179.90,678.50,3.52,139.22,3.35,43.27,,0.96,,
Minuartia obtusiloba,,MINOBT,2.68,214.94,52.32,0.05,332.03,2.08,44.32,,,,
Oreoxis alpina,,OREALP,3.84,189.90,310.44,0.94,29.00,2.13,43.58,,,,
Paronychia pulvinata,,PARPUL,1.94,47.30,332.90,0.06,36.16,,,,,,
Pedicularis groenlandica,,PEDGRO,18.48,180.10,176.01,4.94,80.97,,,,0.60,,
Pedicularis parryi,,PEDPAR,13.28,294.23,87.22,3.34,99.38,1.85,41.06,,,,
Pedicularis racemosa,,PEDRAC,22.60,212.24,283.52,2.40,188.51,,,,1.21,,
Penstemon whippleanus,,PENWHI,16.96,100.70,524.89,4.00,146.85,,,,0.37,,
Pentaphylloides floribunda,,PENFLO,19.62,156.37,746.95,1.00,46.48,,,,,,
Phleum alpinum,,PHLALP,25.40,80.56,331.93,4.31,160.76,,,,0.36,,
Phleum pratense,,PHLPRA,26.14,65.47,278.34,6.49,185.92,18.28,43.64,,0.40,,
Phlox sibirica,,PHLSIB,1.54,192.70,137.59,0.14,35.07,,,,,,
Poa alpina,,POAALP,13.12,174.21,447.05,1.14,203.89,,,,0.35,,
Poa epilis,,POAEPI,52.02,155.05,696.84,1.18,143.26,1.80,33.45,,,,
Poa glauca,,POAGLA,15.86,145.10,473.97,0.55,39.20,3.74,43.81,,0.38,,
Poa spp. tall,,POA TALL,30.80,30.64,334.24,2.31,180.28,,,,,,
Polemonium pulcherrimum,,POLPUL,11.75,92.90,246.81,0.91,672.13,,,,0.71,,
Polemonium viscosum,,POLVIS,8.36,313.77,342.29,2.98,20.18,,,,0.16,,
Potentilla concinna,,POTCOC,2.66,63.50,465.83,1.17,93.44,,,,0.52,,
Potentilla diversifolia,,POTDIV,20.57,200.91,672.02,9.34,136.46,3.10,43.85,,0.10,,
Potentilla nivea,,POTNIV,3.68,119.90,562.85,2.94,80.50,,,,,,
Primula angustifolia,,PRIANG,2.20,103.93,615.47,6.49,29.46,,,,,,
Primula parryi,,PRIPAR,16.84,102.30,692.38,,,,,,0.19,,
Pseudocymopterus montanus,,PSEMON,17.85,127.93,231.95,15.19,68.81,,,,2.14,,
Ranunculus adoneus,,RANADO,9.57,288.60,458.50,3.83,114.74,2.28,42.75,,,,
Rhodiola integrifolia,,RHOINT,10.84,112.87,402.13,0.84,25.07,3.46,41.79,,0.15,,
Ribes montigenum,,RIBMON,54.50,285.86,339.28,4.78,272.77,,,Animal,3.21,,
Salix arctica sp. petraea,,SALARC,3.51,127.10,423.91,2.71,123.79,2.89,47.69,,0.04,,
Saxifraga rhomboidea,,SAXRHO,12.16,123.87,365.53,3.92,135.42,,,,,,
Sedum lanceolatum,,SEDLAN,3.11,143.15,64.66,0.18,202.37,1.40,38.94,,0.08,,
Senecio crocatus,,SENCRO,17.60,151.28,461.17,4.51,27.75,,,,,,
Senecio triangularis,,SENTRI,49.80,330.14,340.01,20.17,237.25,,,,0.68,,
Senicio canus,,SENCAN,9.42,97.67,822.35,2.62,26.90,,,,0.62,,
Sibbaldia procumbens,,SIBPRO,4.36,133.91,385.76,4.37,171.37,4.86,44.99,,0.45,,
Silene acaulis,,SILACA,1.48,99.32,40.07,0.10,41.80,,,Wind,0.29,,
Solidago spathulata,,SOLSPA,11.94,156.23,493.85,5.91,150.69,2.27,43.71,,1.23,,
Taraxacum officinale,,TAROFF,17.25,148.50,366.95,13.33,235.61,2.76,43.02,Wind,0.70,,
Thlaspi montanum,,THLMON,4.68,59.20,284.12,0.46,97.79,,,,0.65,,
Tonestus pygmaeus,,TONPYG,2.58,165.10,592.31,0.95,47.91,,,,,,
Trifolium dasyphyllum,,TRIDAS,4.60,160.03,434.51,1.15,40.72,2.55,42.48,,2.17,,
Trifolium nanum,,TRINAN,2.22,174.12,680.87,1.05,42.38,,,,,,
Trifolium parryi,,TRIPAR,8.08,172.28,684.47,5.18,137.30,2.65,42.00,,,,
Trisetum spicatum,,TRISPI,15.25,133.18,342.82,1.16,128.19,9.04,42.70,,0.38,,
Trollius laxus,,TROLAX,17.80,121.34,335.99,27.58,130.46,,,,0.74,,
Vaccinium cespitosum,,VACSPP,9.95,140.76,227.58,1.76,66.93,,,,0.12,,
Veronica wormskjoldii,,VERWOR,14.80,121.12,296.40,1.88,56.29,,,,0.07,,
Viola adunca,,VIOADU,2.98,126.23,355.48,1.58,122.49,,,,0.79,,
Viola biflora,,VIOBIF,5.60,,459.04,1.74,50.35,,,,,,
Zigadenus elegans,,ZIGELE,16.18,76.27,758.31,12.12,28.96,,,,0.52,,
,,,,,,,,,,,1.01,,
